,,,,,,,,,,,,,,,,,
Caterer Name,LITTLE CHEF,,,,,,,,,,,,,,,,
Logo,,,,,,,,,,,,,,,,,
Monday,25-Aug-14,,Tuesday,26-Aug-14,,Wednesday,27-Aug-14,,Thursday,28-Aug-14,,Friday,29-Aug-14,,Saturday,30-Aug-14,
Category,Menuitems,Calories (Kcal),Category,Menuitems,Calories (Kcal),Category,Menuitems,Calories (Kcal),Category,Menuitems,Calories (Kcal),Category,Menuitems,Calories (Kcal),Category,Menuitems,Calories (Kcal)
Gravy Veg,Mushroom Matar,131,Gravy Veg,Bhuna Hua Paneer,181,Gravy Veg,Achaari Aloo Jhol,112,Gravy Veg,Shahi Paneer,191,Gravy Veg,Veg. Manchurian,195,Gravy Veg,Soya Chap Curry,181
Dry Veg,Achaari Karele,145,Dry Veg,Aloo Shimla,113,Dry Veg,Khata Meetha Sitafal,135,Dry Veg,Mix Vegetable,115,Dry Veg,Chilly Potato,121,Dry Veg,Aloo Matar Dry,111
Dal,Dal Makhani,181,Dal,Dal Dhaba,121,Dal,Masala Kale Channe,119,Dal,Kadi Pakoda,143,Dal,Rajma Masala,145,Dal,Arhar Tadka,120
Rice,Plain Rice,120,Rice,Sabz Pulao,118,Rice,Tadka Rice,120,Rice,Plain Rice,121,Rice,Veg Biryani,120,Rice,Plain Rice,112
Bread,Tawa Roti,80,Bread,Tawa Roti,80,Bread ,Tawa Roti/Puri,80/178,Bread,Tawa Roti,80,Bread,Roti / Noodles,80/131,Bread,Tawa Roti,80
Salad,Green Salad,95,Salad,Chic Pea Salad,114,Salad,Chopped Salad,60,Salad,Pasta Salad,95,Salad,Khemchi Salad,95,Salad,Green Salad,60
Accom,Pickle/Papad,35,Accom,Pickle/Papad,35,Accom,Pickle/Papad,35,Accom,Pickle/Papad,35,Accom,Pickle/Papad,35,Accom,Pickle/Papad,35
Raita,Cucumber Raita,110,Raita,Mix Veg Raita,111,Raita,Masala Raita,115,Raita,Jaljeera,121,Raita,Sweet Corn Soup,111,Raita,Plain Raita,112
Dessert / Fruit,Cut Fruit,95,Dessert / Fruit,Ice Cream,195,Dessert,Suji Ka Halwa,188,Dessert / Fruit,Coconut Roll,180,Dessert / Fruit,Pastry,200,Dessert / Fruit,Kesar Halwa,210
Non Veg,Egg Biryani,185,Non Veg,,,Nonveg ,Butter Chicken,195,Non Veg,,,Non Veg,Chilly Chicken,195,Non Veg,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
